0;1; 00:24:C4:2D:1E:02; eduroam-guest;-33; 00:24:C4:2D:1E:01; eduroam;-33; 00:24:C4:2D:1E:00;-33
0;2; 00:24:C4:2D:1E:02; eduroam-guest;-36; 00:24:C4:2D:1E:01; eduroam;-36; 00:24:C4:2D:1E:00;-36
0;3; 00:24:C4:2D:1E:02; eduroam-guest;-36; 00:24:C4:2D:1E:01; eduroam;-36; 00:24:C4:2D:1E:00;-36
0;4; 00:24:C4:2D:1E:02; eduroam-guest;-37; 00:24:C4:2D:1E:01; eduroam;-37; 00:24:C4:2D:1E:00;-37
0;5; 00:24:C4:2D:1E:02; eduroam-guest;-38; 00:24:C4:2D:1E:01; eduroam;-37; 00:24:C4:2D:1E:00;-38
0;6; 00:24:C4:2D:1E:02; eduroam-guest;-41; 00:24:C4:2D:1E:01; eduroam;-38; 00:24:C4:2D:1E:00;-38
0;7; 00:24:C4:2D:1E:02; eduroam-guest;-41; 00:24:C4:2D:1E:01; eduroam;-41; 00:24:C4:2D:1E:00;-41
0;8; 00:24:C4:2D:1E:02; eduroam-guest;-41; 00:24:C4:2D:1E:01; eduroam;-41; 00:24:C4:2D:1E:00;-41
0;9; 00:24:C4:2D:1E:02; eduroam-guest;-43; 00:24:C4:2D:1E:01; eduroam;-41; 00:24:C4:2D:1E:00;-43
0;10; 00:24:C4:2D:1E:02; eduroam-guest;-44; 00:24:C4:2D:1E:01; eduroam;-44; 00:24:C4:2D:1E:00;-44
0;11; 00:24:C4:2D:1E:02; eduroam-guest;-45; 00:24:C4:2D:1E:01; eduroam;-46; 00:24:C4:2D:1E:00;-45
0;12; 00:24:C4:2D:1E:02; eduroam-guest;-45; 00:24:C4:2D:1E:01; eduroam;-45; 00:24:C4:2D:1E:00;-46
0;13; 00:24:C4:2D:1E:02; eduroam-guest;-46; 00:24:C4:2D:1E:01; eduroam;-45; 00:24:C4:2D:1E:00;-46
0;14; 00:24:C4:2D:1E:02; eduroam-guest;-46; 00:24:C4:2D:1E:01; eduroam;-46; 00:24:C4:2D:1E:00;-46
0;15; 00:24:C4:2D:1E:02; eduroam-guest;-46; 00:24:C4:2D:1E:01; eduroam;-46; 00:24:C4:2D:1E:00;-46
0;16; 00:24:C4:2D:1E:02; eduroam-guest;-46; 00:24:C4:2D:1E:01; eduroam;-46; 00:24:C4:2D:1E:00;-46
0;17; 00:24:C4:2D:1E:02; eduroam-guest;-46; 00:24:C4:2D:1E:01; eduroam;-46; 00:24:C4:2D:1E:00;-46
0;18; 00:24:C4:2D:1E:02; eduroam-guest;-47; 00:24:C4:2D:1E:01; eduroam;-47; 00:24:C4:2D:1E:00;-47
0;19; 00:24:C4:2D:1E:02; eduroam-guest;-47; 00:24:C4:2D:1E:01; eduroam;-47; 00:24:C4:2D:1E:00;-47
0;20; 00:24:C4:2D:1E:02; eduroam-guest;-48; 00:24:C4:2D:1E:01; eduroam;-49; 00:24:C4:2D:1E:00;-49
